statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2015;MONAT;Months;MONAT05;May;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;39.25;mn;ERW002;Persons in employment;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2015;MONAT;Months;MONAT05;May;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;41.06;mn;ERW001;Economically active population;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2015;MONAT;Months;MONAT05;May;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;4.4;percent;ERW089;Unemployment rate;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2015;MONAT;Months;MONAT05;May;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;1.81;mn;ERW003;Unemployed persons;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2016;MONAT;Months;MONAT09;September;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;40.34;mn;ERW002;Persons in employment;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2016;MONAT;Months;MONAT09;September;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;41.94;mn;ERW001;Economically active population;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2016;MONAT;Months;MONAT09;September;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;3.8;percent;ERW089;Unemployment rate;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2016;MONAT;Months;MONAT09;September;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;1.6;mn;ERW003;Unemployed persons;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2015;MONAT;Months;MONAT05;May;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;39.26;mn;ERW002;Persons in employment;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2015;MONAT;Months;MONAT05;May;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;41.06;mn;ERW001;Economically active population;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2015;MONAT;Months;MONAT05;May;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;4.4;percent;ERW089;Unemployment rate;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2015;MONAT;Months;MONAT05;May;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;1.8;mn;ERW003;Unemployed persons;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2016;MONAT;Months;MONAT09;September;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;40.39;mn;ERW002;Persons in employment;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2016;MONAT;Months;MONAT09;September;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;41.99;mn;ERW001;Economically active population;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2016;MONAT;Months;MONAT09;September;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;3.8;percent;ERW089;Unemployment rate;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2016;MONAT;Months;MONAT09;September;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;1.6;mn;ERW003;Unemployed persons;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2018;MONAT;Months;MONAT11;November;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;40.9;mn;ERW002;Persons in employment;p
